bikepoint_id,name,lat,lon,bikes_available,empty_docks,docks_total,install_date,locked,temporary,timestamp,data_source
BikePoints_1,"River Street , Clerkenwell",51.529163,-0.10997,2,14,19,1278947280000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_2,"Phillimore Gardens, Kensington",51.499606,-0.197574,12,24,37,1278585780000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_3,"Christopher Street, Liverpool Street",51.521283,-0.084605,10,22,32,1278240360000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_4,"St. Chad's Street, King's Cross",51.530059,-0.120973,21,0,23,1278241080000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_5,"Sedding Street, Sloane Square",51.49313,-0.156876,8,16,27,1278241440000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_6,"Broadcasting House, Marylebone",51.518117,-0.144228,1,15,18,1278241680000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_7,"Charlbert Street, St. John's Wood",51.5343,-0.168074,5,11,16,1278241800000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_8,"Maida Vale, Maida Vale",51.529857,-0.183486,23,11,39,1540984560000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_9,"New Globe Walk, Bankside",51.507385,-0.09644,4,15,19,1278242340000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_10,"Park Street, Bankside",51.505974,-0.092754,17,0,18,1278242460000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_11,"Brunswick Square, Bloomsbury",51.523951,-0.122502,1,20,24,1278340440000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_12,"Malet Street, Bloomsbury",51.52168,-0.130431,0,47,49,1278340620000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_13,"Scala Street, Fitzrovia",51.519914,-0.136039,0,18,21,1278340800000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_14,"Argyle Street, Kings Cross",51.529416,-0.123944,3,37,45,1278341040000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_15,"Great Russell Street, Bloomsbury",51.517727,-0.127854,2,22,26,1278341220000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_16,"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,5,15,21,1278341400000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_17,"Hatton Wall, Holborn",51.521661,-0.109006,17,5,26,1278423720000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_18,"Drury Lane, Covent Garden",51.51477,-0.122219,2,19,27,1278426300000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_19,"Taviton Street, Bloomsbury",51.52505,-0.131161,1,25,30,1278426720000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_20,"Drummond Street , Euston",51.527326,-0.136052,6,22,28,1544659200000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_21,"Lansdowne Drive, Hackney Central",51.539834,-0.062806,25,0,26,1278427740000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_22,"Northington Street , Holborn",51.522264,-0.114079,12,5,19,1278428880000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_23,"Red Lion Square, Holborn",51.519435,-0.119123,2,14,16,1278429300000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
BikePoints_24,"British Museum, Bloomsbury",51.51908,-0.124678,0,35,35,1278430140000,false,false,2026-04-12T11:44:47.916447,TfL_BikePoint
